Ion, Observed , Rel. , Aki, Ek ,J,,,,,,,,,,,,,
Si III , ,  ,1.91E+07,249 121.14  ,3,,,,,,,,,,,,,
Si II , ,  ,4.76E+06,126 545.4   , 1/2 ,,,,,,,,,,,,,
Si II , ,  ,4.75E+06,126 525.8   , 3/2 ,,,,,,,,,,,,,
Si III , ,  ,3.60E+07,254 584.6   ,4,,,,,,,,,,,,,
Si III , ,  ,2.61E+07,254 766.75  ,2,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si I ,201.097,30, , ,  ,,,,,,,,,,,,,
Si II , ,  ,3.31E+07,126 279.0   , 1/2 ,,,,,,,,,,,,,
Si II , ,  ,3.39E+07,126 236.4   , 3/2 ,,,,,,,,,,,,,
Si VI , ,  ,2.13E+04,1 182 894     , 1/2 ,,,,,,,,,,,,,
Si III , ,  ,2.49E+07,214 532.17  ,1,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si X , ,  ,1.10E+06,2 154 480     , 5/2 ,,,,,,,,,,,,,
Si XI , ,  ,1.02E+01,495 201     ,2,,,,,,,,,,,,,
Si XI , ,  ,1.66E-03,495 201     ,2,,,,,,,,,,,,,
Si I ,205.483,50, , ,  ,,,,,,,,,,,,,
Si I , ,  ,7.08E+07,54 871.031 ,1,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si II ,205.865,50, , ,  ,,,,,,,,,,,,,
Si II ,205.901,50, , ,  ,,,,,,,,,,,,,
Si I ,206.119,40, , ,  ,,,,,,,,,,,,,
Si II , ,  ,4.60E+06,113 976.72  , 3/2 ,,,,,,,,,,,,,
Si II , ,  ,4.59E+06,113 962.08  , 1/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si I ,206.552,30, , ,  ,,,,,,,,,,,,,
Si II ,207.202,200,9.60E+07,103 556.16  , 5/2 ,,,,,,,,,,,,,
Si II , ,  ,6.80E+06,103 556.16  , 5/2 ,,,,,,,,,,,,,
Si VI , ,  ,1.42E+04,1 182 311     , 3/2 ,,,,,,,,,,,,,
Si II ,207.27,200,1.00E+08,103 556.03  , 7/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si I , ,  ,4.59E+05,54 528.220 ,2,,,,,,,,,,,,,
Si III , ,  ,5.95E+07,249 774.48  ,2,,,,,,,,,,,,,
Si III , ,  ,6.30E+07,249 774.70  ,3,,,,,,,,,,,,,
Si III , ,  ,1.11E+07,249 774.48  ,2,,,,,,,,,,,,,
Si III , ,  ,7.09E+07,249 774.98  ,4,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si III , ,  ,7.90E+06,249 774.70  ,3,,,,,,,,,,,,,
Si III , ,  ,3.12E+05,249 774.48  ,2,,,,,,,,,,,,,
Si VI , ,  ,7.30E+06,1 089 547     , 3/2 ,,,,,,,,,,,,,
Si XI , ,  ,5.73E+06,2 558 230     ,1,,,,,,,,,,,,,
Si VI , ,  ,2.63E+06,1 089 547     , 3/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si I , ,  ,6.45E+06,54 313.818 ,1,,,,,,,,,,,,,
Si I , ,  ,2.73E+06,54 257.582 ,3,,,,,,,,,,,,,
Si X , ,  ,1.41E+07,2 153 700     , 3/2 ,,,,,,,,,,,,,
Si I , ,  ,3.26E+04,54 205.090 ,2,,,,,,,,,,,,,
Si I , ,  ,5.46E+05,54 185.264 ,1,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si VI , ,  ,1.58E+04,1 182 311     , 3/2 ,,,,,,,,,,,,,
Si VI , ,  ,1.56E+01,1 181 649     , 5/2 ,,,,,,,,,,,,,
Si I ,210.321, 30w , , ,  ,,,,,,,,,,,,,
Si I ,211.463,30, , ,  ,,,,,,,,,,,,,
Si VI , ,  ,1.99E+04,1 181 649     , 5/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si IV ,212.018,3,3.06E+08,265 417.95  , 1/2 ,,,,,,,,,,,,,
Si I , ,  ,3.57E+07,53 387.334 ,1,,,,,,,,,,,,,
Si I ,212.412,100,2.97E+08,53 362.24  ,3,,,,,,,,,,,,,
Si XI , ,  ,3.54E+06,2 332 050     ,2,,,,,,,,,,,,,
Si IV ,212.747,4,6.14E+08,265 417.95  , 1/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si II ,213.399, 10w , , ,  ,,,,,,,,,,,,,
Si II ,213.64, 30w , , ,  ,,,,,,,,,,,,,
Si II ,213.656, 50w , , ,  ,,,,,,,,,,,,,
Si VI , ,  ,7.96E+02,1 181 167     , 7/2 ,,,,,,,,,,,,,
Si XI , ,  ,5.21E+06,2 556 770     ,2,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si VII , ,  ,7.70E-03,46 569.8   ,2,,,,,,,,,,,,,
Si VII , ,  ,1.24E+01,46 569.8   ,2,,,,,,,,,,,,,
Si I ,214.791, 50w , , ,  ,,,,,,,,,,,,,
Si IX , ,  ,1.80E+01,52 925.9   ,2,,,,,,,,,,,,,
Si IX , ,  ,7.51E-03,52 925.9   ,2,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si VI , ,  ,7.49E+04,1 194 327     , 3/2 ,,,,,,,,,,,,,
Si III , ,  ,4.47E+05,245 086.58  ,3,,,,,,,,,,,,,
Si III , ,  ,1.57E+07,245 086.58  ,3,,,,,,,,,,,,,
Si III , ,  ,7.01E+07,250 366.22  ,3,,,,,,,,,,,,,
Si III , ,  ,2.18E+07,244 866.05  ,2,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si III ,217.689,5,1.80E+08,245 086.58  ,3,,,,,,,,,,,,,
Si XI , ,  ,8.25E+06,2 558 230     ,1,,,,,,,,,,,,,
Si III , ,  ,1.73E+08,244 866.05  ,2,,,,,,,,,,,,,
Si III , ,  ,1.95E+08,244 736.93  ,1,,,,,,,,,,,,,
Si IX , ,  ,9.78E-06,492 755     ,1,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si IX , ,  ,3.11E+01,492 755     ,1,,,,,,,,,,,,,
Si III , ,  ,1.30E+07,250 636.55  ,2,,,,,,,,,,,,,
Si VI , ,  ,2.49E+05,1 086 796     , 5/2 ,,,,,,,,,,,,,
Si VI , ,  ,6.85E+03,1 086 796     , 5/2 ,,,,,,,,,,,,,
Si VI , ,  ,2.71E+05,1 193 223     , 5/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si I , ,  ,4.68E-03,45 293.629 ,2,,,,,,,,,,,,,
Si I ,220.798,110,2.62E+07,45 276.188 ,1,,,,,,,,,,,,,
Si III , ,  ,2.08E+03,204 330.79  ,2,,,,,,,,,,,,,
Si I , ,  ,4.58E-03,45 321.848 ,3,,,,,,,,,,,,,
Si I ,221.089,115,3.46E+07,45 293.629 ,2,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si I ,221.174,110,1.81E+07,45 276.188 ,1,,,,,,,,,,,,,
Si IV , ,  ,6.88E+07,336 616.55  , 5/2 ,,,,,,,,,,,,,
Si IV , ,  ,4.91E+06,336 616.55  , 5/2 ,,,,,,,,,,,,,
Si IV , ,  ,7.37E+07,336 616.55  , 7/2 ,,,,,,,,,,,,,
Si I ,221.667,120,4.54E+07,45 321.848 ,3,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si I ,221.806,120,1.09E+07,45 293.629 ,2,,,,,,,,,,,,,
Si III , ,  ,4.22E+06,254 584.8   ,3,,,,,,,,,,,,,
Si I ,221.891,50,1.05E+06,45 276.188 ,1,,,,,,,,,,,,,
Si III , ,  ,3.68E+05,254 584.8   ,3,,,,,,,,,,,,,
Si III , ,  ,4.29E+06,254 584.8   ,4,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si III , ,  ,6.50E+07,249 817.94  ,4,,,,,,,,,,,,,
Si III , ,  ,4.57E+06,254 585.75  ,5,,,,,,,,,,,,,
Si III , ,  ,5.59E+03,254 584.8   ,3,,,,,,,,,,,,,
Si III , ,  ,2.86E+05,254 584.8   ,4,,,,,,,,,,,,,
Si II , ,  ,2.44E+07,121 590.19  , 3/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si XIII , ,  ,3.39E+08,(19 475 044)    ,2,,,,,,,,,,,,,
Si XIII , ,  ,3.38E+08,(19 474 987)    ,1,,,,,,,,,,,,,
Si XIII , ,  ,3.37E+08,(19 474 972)    ,0,,,,,,,,,,,,,
Si II , ,  ,2.41E+07,121 444.12  , 1/2 ,,,,,,,,,,,,,
Si III , ,  ,8.70E+07,258 978.66  ,0,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si XI , ,  ,1.35E+07,2 556 770     ,2,,,,,,,,,,,,,
Si XIII , ,  ,3.43E+08,(19 475 621)    ,1,,,,,,,,,,,,,
Si XI , ,  ,2.11E+01,495 201     ,2,,,,,,,,,,,,,
Si XI , ,  ,7.04E-03,495 201     ,2,,,,,,,,,,,,,
Si X , ,  ,1.15E+07,2 154 480     , 5/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si VI , ,  ,1.69E+05,1 194 327     , 3/2 ,,,,,,,,,,,,,
Si I , ,  ,3.56E+06,59 273.575 ,1,,,,,,,,,,,,,
Si I , ,  ,1.99E+01,59 191.072 ,2,,,,,,,,,,,,,
Si I , ,  ,1.83E+01,59 110.892 ,2,,,,,,,,,,,,,
Si IV ,228.704, 5w* ,6.41E+08,293 718.99  , 7/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si IV ,228.704, 5w* ,4.27E+07,293 718.99  , 5/2 ,,,,,,,,,,,,,
Si IV ,228.704, 5w* ,5.98E+08,293 718.99  , 5/2 ,,,,,,,,,,,,,
Si I ,229.103,35, , ,  ,,,,,,,,,,,,,
Si III ,229.548,6,6.69E+07,242 473.66  ,3,,,,,,,,,,,,,
Si III ,229.687,10, , ,  ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si III ,230.093,8,5.80E+06,242 473.66  ,3,,,,,,,,,,,,,
Si X , ,  ,1.16E+06,2 153 700     , 3/2 ,,,,,,,,,,,,,
Si I ,230.306,55,3.48E+08,58 801.529 ,1,,,,,,,,,,,,,
Si III , ,  ,1.60E+05,244 943.31  ,2,,,,,,,,,,,,,
Si III , ,  ,2.41E+06,244 943.31  ,2,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si III , ,  ,1.35E+07,244 943.31  ,2,,,,,,,,,,,,,
Si III , ,  ,4.00E+06,244 933.36  ,1,,,,,,,,,,,,,
Si III , ,  ,1.20E+07,244 933.36  ,1,,,,,,,,,,,,,
Si III , ,  ,1.60E+07,244 928.72  ,0,,,,,,,,,,,,,
Si III ,230.819,10,7.16E+07,242 474.81  ,5,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si III , ,  ,4.48E+06,242 473.86  ,4,,,,,,,,,,,,,
Si III , ,  ,8.77E+04,242 473.66  ,3,,,,,,,,,,,,,
Si II , ,  ,4.02E+06,124 495.7   , 3/2 ,,,,,,,,,,,,,
Si II , ,  ,7.65E+06,124 495.7   , 3/2 ,,,,,,,,,,,,,
Si II , ,  ,5.01E+07,124 495.7   , 5/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si XI , ,  ,4.02E+07,2 285 040     ,1,,,,,,,,,,,,,
Si III , ,  ,4.32E+06,247 935.39  ,2,,,,,,,,,,,,,
Si II , ,  ,2.35E+01,42 932.62  , 3/2 ,,,,,,,,,,,,,
Si IV ,232.856, 2w , , ,  ,,,,,,,,,,,,,
Si XIII , ,  ,8.03E+07,(19 474 174)    ,1,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si III , ,  ,3.16E+07,247 935.39  ,2,,,,,,,,,,,,,
Si XIII , ,  ,2.41E+08,(19 474 174)    ,1,,,,,,,,,,,,,
Si XIII , ,  ,6.90E+08,(19 474 981)    ,0,,,,,,,,,,,,,
Si II ,233.44,30,5.51E+03,42 824.29  , 1/2 ,,,,,,,,,,,,,
Si XIII , ,  ,3.98E+08,(19 474 174)    ,1,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si II ,233.461,30,2.44E+03,43 107.91  , 5/2 ,,,,,,,,,,,,,
Si II ,234.42,10,1.31E+03,42 932.62  , 3/2 ,,,,,,,,,,,,,
Si II ,234.954, 10w , , ,  ,,,,,,,,,,,,,
Si VII , ,  ,7.28E-04,46 569.8   ,2,,,,,,,,,,,,,
Si VII , ,  ,3.15E+00,46 569.8   ,2,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si II ,235.017,20,4.70E+03,42 824.29  , 1/2 ,,,,,,,,,,,,,
Si III , ,  ,2.02E-03,201 598.28  ,2,,,,,,,,,,,,,
Si III , ,  ,1.88E-11,201 597.73  ,1,,,,,,,,,,,,,
Si II ,235.309, 20w , , ,  ,,,,,,,,,,,,,
Si II ,235.63, 100w , , ,  ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si II ,235.718, 30w , , ,  ,,,,,,,,,,,,,
Si II ,235.797, 50w , , ,  ,,,,,,,,,,,,,
Si II ,236.02, 10w , , ,  ,,,,,,,,,,,,,
Si IV , ,  ,2.65E+05,336 051.55  , 5/2 ,,,,,,,,,,,,,
Si IV , ,  ,5.58E+06,336 051.55  , 3/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si IV , ,  ,5.31E+06,336 051.55  , 5/2 ,,,,,,,,,,,,,
Si IV ,236.676,2,5.18E+07,318 742.79  , 1/2 ,,,,,,,,,,,,,
Si II ,236.697,30, , ,  ,,,,,,,,,,,,,
Si IV ,237.099,3,1.04E+08,318 742.79  , 1/2 ,,,,,,,,,,,,,
Si II ,237.426,20, , ,  ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si VI , ,  ,9.16E+03,1 083 003     , 1/2 ,,,,,,,,,,,,,
Si III , ,  ,4.64E+04,240 314.63  ,3,,,,,,,,,,,,,
Si III , ,  ,2.29E+06,240 284.28  ,2,,,,,,,,,,,,,
Si III , ,  ,2.05E+07,240 262.28  ,1,,,,,,,,,,,,,
Si III , ,  ,1.64E+06,240 314.63  ,3,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si IV , ,  ,2.45E+06,332 759.92  , 3/2 ,,,,,,,,,,,,,
Si IV , ,  ,2.21E+07,332 759.92  , 3/2 ,,,,,,,,,,,,,
Si III , ,  ,1.81E+07,240 284.28  ,2,,,,,,,,,,,,,
Si IV , ,  ,2.44E+07,332 743.87  , 1/2 ,,,,,,,,,,,,,
Si II , ,  ,1.36E+01,84 004.26  , 3/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si II , ,  ,1.36E-03,84 004.26  , 3/2 ,,,,,,,,,,,,,
Si II ,242.845, 10w , , ,  ,,,,,,,,,,,,,
Si III , ,  ,1.86E+07,240 314.63  ,3,,,,,,,,,,,,,
Si II , ,  ,2.84E-03,84 004.26  , 3/2 ,,,,,,,,,,,,,
Si I ,243.515,300,4.43E+07,47 351.554 ,2,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si VII , ,  ,2.15E-04,46 569.8   ,2,,,,,,,,,,,,,
Si I ,243.877,65,7.91E+05,40 991.884 ,1,,,,,,,,,,,,,
Si II , ,  ,5.22E-03,83 801.95  , 1/2 ,,,,,,,,,,,,,
Si II , ,  ,3.47E+07,122 163.48  , 3/2 ,,,,,,,,,,,,,
Si I ,244.336,65,6.28E+05,40 991.884 ,1,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si II , ,  ,1.07E+07,122 163.54  , 5/2 ,,,,,,,,,,,,,
Si II , ,  ,1.79E+06,122 163.48  , 3/2 ,,,,,,,,,,,,,
Si II , ,  ,3.56E-03,84 004.26  , 3/2 ,,,,,,,,,,,,,
Si II , ,  ,3.00E+00,83 801.95  , 1/2 ,,,,,,,,,,,,,
Si III , ,  ,9.73E+07,242 410.88  ,2,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si III , ,  ,1.03E+08,242 411.27  ,3,,,,,,,,,,,,,
Si III ,244.948,11,1.81E+07,242 410.88  ,2,,,,,,,,,,,,,
Si III , ,  ,1.16E+08,242 411.70  ,4,,,,,,,,,,,,,
Si III , ,  ,1.29E+07,242 411.27  ,3,,,,,,,,,,,,,
Si III , ,  ,5.12E+05,242 410.88  ,2,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si VI , ,  ,9.91E+03,1 082 215     , 3/2 ,,,,,,,,,,,,,
Si I ,245.212,70,5.81E+05,40 991.884 ,1,,,,,,,,,,,,,
Si VI , ,  ,1.45E+04,1 082 215     , 3/2 ,,,,,,,,,,,,,
Si II , ,  ,2.58E+01,83 801.95  , 1/2 ,,,,,,,,,,,,,
Si III , ,  ,1.99E+07,244 871.47  ,1,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si III , ,  ,1.31E+07,249 817.32  ,3,,,,,,,,,,,,,
Si IV ,248.282,2,6.62E+06,305 682.27  , 3/2 ,,,,,,,,,,,,,
Si III ,248.32,6,1.33E+07,249 817.85  ,4,,,,,,,,,,,,,
Si III , ,  ,1.15E+06,249 817.32  ,3,,,,,,,,,,,,,
Si VII , ,  ,1.48E+07,1 631 160     ,3,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si IV ,248.538,1,7.06E+06,305 641.10  , 1/2 ,,,,,,,,,,,,,
Si III , ,  ,1.41E+07,249 818.93  ,5,,,,,,,,,,,,,
Si III , ,  ,8.86E+05,249 817.85  ,4,,,,,,,,,,,,,
Si III , ,  ,1.73E+04,249 817.32  ,3,,,,,,,,,,,,,
Si II , ,  ,1.13E+07,119 311.34  , 5/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si II , ,  ,8.07E+05,119 311.34  , 5/2 ,,,,,,,,,,,,,
Si II , ,  ,1.21E+07,119 311.19  , 7/2 ,,,,,,,,,,,,,
Si II , ,  ,5.48E+06,119 273.81  , 3/2 ,,,,,,,,,,,,,
Si II , ,  ,4.92E+07,119 273.81  , 3/2 ,,,,,,,,,,,,,
Si II , ,  ,5.36E+07,119 245.22  , 1/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si I ,250.69,425,5.47E+07,39 955.053 ,2,,,,,,,,,,,,,
Si I ,251.432,375,7.39E+07,39 760.285 ,1,,,,,,,,,,,,,
Si I ,251.6113,500,1.68E+08,39 955.053 ,2,,,,,,,,,,,,,
Si IV ,251.751,7, , ,  ,,,,,,,,,,,,,
Si I ,251.9202,350,5.49E+07,39 760.285 ,1,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si I ,252.4108,425,2.22E+08,39 683.163 ,0,,,,,,,,,,,,,
Si III , ,  ,9.16E+07,243 868.50  ,3,,,,,,,,,,,,,
Si I ,252.8509,450,9.04E+07,39 760.285 ,1,,,,,,,,,,,,,
Si I ,253.2381,110,2.45E+07,54 871.031 ,1,,,,,,,,,,,,,
Si III ,254.182,25,3.22E+07,122 214.52  ,2,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si VI , ,  ,9.31E+03,1 080 700     , 5/2 ,,,,,,,,,,,,,
Si III ,254.609,10,6.10E+07,205 029.09  ,2,,,,,,,,,,,,,
Si VI , ,  ,2.30E+03,1 080 700     , 5/2 ,,,,,,,,,,,,,
Si III ,255.921,14,1.63E+08,204 828.06  ,3,,,,,,,,,,,,,
Si I , ,  ,4.62E-03,45 321.848 ,3,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si I ,256.3679,30,4.20E-03,45 293.629 ,2,,,,,,,,,,,,,
Si I , ,  ,1.78E-03,45 276.188 ,1,,,,,,,,,,,,,
Si I ,256.8641,85,4.24E+06,54 313.818 ,1,,,,,,,,,,,,,
Si I ,257.7151,45, , ,  ,,,,,,,,,,,,,
Si II , ,  ,1.56E+02,81 251.32  , 3/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si II , ,  ,1.33E+06,103 885.25  , 3/2 ,,,,,,,,,,,,,
Si II , ,  ,2.51E+02,81 191.34  , 1/2 ,,,,,,,,,,,,,
Si II , ,  ,1.33E+06,103 860.74  , 1/2 ,,,,,,,,,,,,,
Si II , ,  ,2.29E+01,81 251.32  , 3/2 ,,,,,,,,,,,,,
Si II , ,  ,9.22E+02,81 191.34  , 1/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si II , ,  ,4.47E+03,81 251.32  , 3/2 ,,,,,,,,,,,,,
Si I ,263.1282,190,1.06E+08,53 387.334 ,1,,,,,,,,,,,,,
Si III ,264.079,11,1.83E+08,242 885.30  ,1,,,,,,,,,,,,,
Si II , ,  ,8.48E+06,121 590.19  , 3/2 ,,,,,,,,,,,,,
Si III ,265.551,14,1.35E+08,242 474.27  ,4,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si II , ,  ,3.36E+07,121 444.12  , 1/2 ,,,,,,,,,,,,,
Si II , ,  ,4.17E+07,121 590.19  , 3/2 ,,,,,,,,,,,,,
Si VI , ,  ,3.54E+03,1 078 935     , 7/2 ,,,,,,,,,,,,,
Si II , ,  ,1.65E+07,121 444.12  , 1/2 ,,,,,,,,,,,,,
Si IV ,267.219,1,2.49E+06,313 914.92  , 3/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si IV , ,  ,1.30E+06,291 497.60  , 5/2 ,,,,,,,,,,,,,
Si IV ,267.512,4,2.74E+07,291 497.50  , 3/2 ,,,,,,,,,,,,,
Si IV ,267.525,4,2.61E+07,291 497.60  , 5/2 ,,,,,,,,,,,,,
Si IV ,267.757,1,4.51E+05,313 914.92  , 3/2 ,,,,,,,,,,,,,
Si II , ,  ,1.77E+07,118 522.86  , 3/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si II ,268.221, 10w ,3.49E+06,118 522.86  , 3/2 ,,,,,,,,,,,,,
Si XI , ,  ,2.55E+07,2 549 470     ,3,,,,,,,,,,,,,
