,,,#VALUE!,,,,,,,,,,,,,,,
 ,3.87E+03,[41 076.141]  ,1.5,,,,,,,,,,,,,,,
 ,3.87E+03,[41 076.106]  ,0.5,,,,,,,,,,,,,,,
 ,4.64E+03,[41 028.462]  ,1.5,,,,,,,,,,,,,,,
 ,4.64E+03,[41 028.419]  ,0.5,,,,,,,,,,,,,,,
 ,5.60E+03,[40 971.028]  ,1.5,,,,,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,,,,,
 ,5.60E+03,[40 970.976]  ,0.5,,,,,,,,,,,,,,,
 ,6.80E+03,[40 900.985]  ,1.5,,,,,,,,,,,,,,,
 ,6.80E+03,[40 900.922]  ,0.5,,,,,,,,,,,,,,,
 ,8.60E+03,[40 814.352]  ,1.5,,,,,,,,,,,,,,,
 ,8.60E+03,[40 814.273]  ,0.5,,,,,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,,,,,
 ,1.12E+04,[40 705.444]  ,1.5,,,,,,,,,,,,,,,
 ,1.12E+04,[40 705.344]  ,0.5,,,,,,,,,,,,,,,
 ,1.44E+04,[40 565.913]  ,1.5,,,,,,,,,,,,,,,
 ,1.44E+04,[40 565.783]  ,0.5,,,,,,,,,,,,,,,
 ,1.94E+04,40 383.097   ,1.5,,,,,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,,,,,
 ,1.94E+04,40 382.925   ,0.5,,,,,,,,,,,,,,,
 ,1.89E+04,40 137.043   ,1.5,,,,,,,,,,,,,,,
 ,1.89E+04,40 136.810   ,0.5,,,,,,,,,,,,,,,
 ,3.20E+04,[39 794.810]  ,1.5,,,,,,,,,,,,,,,
 ,3.10E+04,[39 794.479]  ,0.5,,,,,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,,,,,
254.382,4.46E+04,39 298.84    ,1.5,,,,,,,,,,,,,,,
254.388,4.35E+04,39 298.35    ,0.5,,,,,,,,,,,,,,,
259.383,8.13E+04,38 540.93    ,1.5,,,,,,,,,,,,,,,
259.393,7.96E+04,38 540.18    ,0.5,,,,,,,,,,,,,,,
268.0331,1.84E+05,37 297.61    ,1.5,,,,,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,,,,,
268.0421,1.81E+05,37 296.32    ,0.5,,,,,,,,,,,,,,,
285.2811,5.38E+05,35 042.85    ,1.5,,,,,,,,,,,,,,,
285.3013,5.31E+05,35 040.38    ,0.5,,,,,,,,,,,,,,,
289.3618, ,34 548.764   ,1.5,,,,,,,,,,,,,,,
330.2369,2.75E+06,30 272.58    ,1.5,,,,,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,,,,,
330.2979,2.73E+06,30 266.99    ,0.5,,,,,,,,,,,,,,,
341.62,1.50E+07,293 010.3     ,1.5,,,,,,,,,,,,,,,
342.6862, ,29 172.887   ,1.5,,,,,,,,,,,,,,,
342.73,2.80E+07,292 913.9     ,2.5,,,,,,,,,,,,,,,
348.9,4.20E+07,292 399.4     ,2.5,,,,,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,,,,,
350.25,8.80E+07,292 289.2     ,1.5,,,,,,,,,,,,,,,
351.1,1.15E+08,292 219.6     ,0.5,,,,,,,,,,,,,,,
383.36, ,293 010.3     ,1.5,,,,,,,,,,,,,,,
384.8,2.80E+07,292 913.9     ,2.5,,,,,,,,,,,,,,,
385.23, ,293 528       ,1.5,,,,,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,,,,,
386.55,5.80E+07,292 449.7     ,3.5,,,,,,,,,,,,,,,
387.29,1.20E+07,292 399.4     ,2.5,,,,,,,,,,,,,,,
388.18,1.63E+08,292 340.6     ,4.5,,,,,,,,,,,,,,,
 ,6.95E-04,25 739.999   ,0.5,,,,,,,,,,,,,,,
388.57,6.20E+07,293 010.3     ,1.5,,,,,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,,,,,
390.04,7.70E+07,292 913.9     ,2.5,,,,,,,,,,,,,,,
391.18, ,293 133.1     ,0.5,,,,,,,,,,,,,,,
391.79,6.60E+07,292 449.7     ,3.5,,,,,,,,,,,,,,,
392.56,4.50E+07,292 399.4     ,2.5,,,,,,,,,,,,,,,
393.06,2.50E+07,293 010.3     ,1.5,,,,,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,,,,,
394.26,2.10E+07,292 289.2     ,1.5,,,,,,,,,,,,,,,
398.03,5.00E+06,292 399.4     ,2.5,,,,,,,,,,,,,,,
399.77,8.00E+06,292 289.2     ,1.5,,,,,,,,,,,,,,,
400.88,1.50E+07,292 219.6     ,0.5,,,,,,,,,,,,,,,
405.66, ,292 219.6     ,0.5,,,,,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,,,,,
412.79, ,[41 174.705]  ,1.5,,,,,,,,,,,,,,,
413.082,8.62E+03,[41 174.705]  ,1.5,,,,,,,,,,,,,,,
413.082,5.17E+04,[41 174.705]  ,2.5,,,,,,,,,,,,,,,
413.291, ,[41 145.000]  ,1.5,,,,,,,,,,,,,,,
413.481, ,[41 134.023]  ,0.5,,,,,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,,,,,
413.584,1.01E+04,[41 145.000]  ,1.5,,,,,,,,,,,,,,,
413.584,6.06E+04,[41 144.999]  ,2.5,,,,,,,,,,,,,,,
413.774,3.40E+04,[41 134.023]  ,0.5,,,,,,,,,,,,,,,
413.89, ,[41 110.202]  ,1.5,,,,,,,,,,,,,,,
414.108, ,[41 097.271]  ,0.5,,,,,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,,,,,
414.184,1.12E+04,[41 110.202]  ,1.5,,,,,,,,,,,,,,,
414.184,6.72E+04,[41 110.202]  ,2.5,,,,,,,,,,,,,,,
414.403,4.01E+04,[41 097.271]  ,0.5,,,,,,,,,,,,,,,
414.598, ,[41 069.080]  ,1.5,,,,,,,,,,,,,,,
414.62, ,293 010.3     ,1.5,,,,,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,,,,,
414.861, ,[41 053.701]  ,0.5,,,,,,,,,,,,,,,
414.893,1.42E+04,[41 069.080]  ,1.5,,,,,,,,,,,,,,,
414.893,8.52E+04,[41 069.079]  ,2.5,,,,,,,,,,,,,,,
415.175,4.78E+04,[41 053.701]  ,0.5,,,,,,,,,,,,,,,
415.444, ,[41 020.001]  ,1.5,,,,,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,,,,,
415.7, ,293 133.1     ,0.5,,,,,,,,,,,,,,,
415.74,1.71E+04,[41 020.001]  ,1.5,,,,,,,,,,,,,,,
415.74,1.03E+05,[41 020.000]  ,2.5,,,,,,,,,,,,,,,
415.76, ,[41 001.515]  ,0.5,,,,,,,,,,,,,,,
416.057,5.76E+04,[41 001.515]  ,0.5,,,,,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,,,,,
416.47, ,[40 960.771]  ,1.5,,,,,,,,,,,,,,,
416.767,2.09E+04,[40 960.771]  ,1.5,,,,,,,,,,,,,,,
416.767,1.25E+05,[40 960.771]  ,2.5,,,,,,,,,,,,,,,
416.858, ,[40 938.281]  ,0.5,,,,,,,,,,,,,,,
417.156,7.03E+04,[40 938.281]  ,0.5,,,,,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,,,,,
417.67,3.50E+07,292 449.7     ,3.5,,,,,,,,,,,,,,,
417.723, ,[40 888.387]  ,1.5,,,,,,,,,,,,,,,
418.022,2.58E+04,[40 888.387]  ,1.5,,,,,,,,,,,,,,,
418.022,1.55E+05,[40 888.386]  ,2.5,,,,,,,,,,,,,,,
418.209, ,[40 860.648]  ,0.5,,,,,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,,,,,
418.509,8.70E+04,[40 860.648]  ,0.5,,,,,,,,,,,,,,,
418.55,4.90E+07,292 399.4     ,2.5,,,,,,,,,,,,,,,
419.297, ,[40 798.644]  ,1.5,,,,,,,,,,,,,,,
419.598,3.27E+04,[40 798.644]  ,1.5,,,,,,,,,,,,,,,
419.598,1.96E+05,[40 798.642]  ,2.5,,,,,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,,,,,
419.914, ,[40 763.884]  ,0.5,,,,,,,,,,,,,,,
420.216,1.09E+05,[40 763.884]  ,0.5,,,,,,,,,,,,,,,
420.49,2.50E+07,292 289.2     ,1.5,,,,,,,,,,,,,,,
421.309, ,[40 685.509]  ,1.5,,,,,,,,,,,,,,,
421.613,4.20E+04,[40 685.509]  ,1.5,,,,,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,,,,,
421.613,2.52E+05,[40 685.509]  ,2.5,,,,,,,,,,,,,,,
422.076, ,[40 641.148]  ,0.5,,,,,,,,,,,,,,,
422.381,1.40E+05,[40 641.148]  ,0.5,,,,,,,,,,,,,,,
423.8987, ,[40 540.095]  ,1.5,,,,,,,,,,,,,,,
424.2082,5.54E+04,[40 540.095]  ,1.5,,,,,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,,,,,
424.2082,3.32E+05,[40 540.093]  ,2.5,,,,,,,,,,,,,,,
424.941, ,40 482.236   ,0.5,,,,,,,,,,,,,,,
425.252,1.84E+05,40 482.236   ,0.5,,,,,,,,,,,,,,,
425.38,5.00E+06,292 399.4     ,2.5,,,,,,,,,,,,,,,
427.3642,3.91E+05,40 348.918   ,1.5,,,,,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,,,,,
427.39,1.60E+07,292 289.2     ,1.5,,,,,,,,,,,,,,,
427.6787,7.80E+04,40 348.918   ,1.5,,,,,,,,,,,,,,,
427.6787,4.69E+05,40 348.915   ,2.5,,,,,,,,,,,,,,,
428.67,2.80E+07,292 219.6     ,0.5,,,,,,,,,,,,,,,
428.7838, ,40 271.396   ,0.5,,,,,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,,,,,
429.1006,2.47E+05,40 271.396   ,0.5,,,,,,,,,,,,,,,
432.14, ,40 090.31    ,1.5,,,,,,,,,,,,,,,
432.4615,1.14E+05,40 090.31    ,1.5,,,,,,,,,,,,,,,
432.4615,6.84E+05,40 090.31    ,2.5,,,,,,,,,,,,,,,
432.63, ,286 849.5     ,1.5,,,,,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,,,,,
434.1489,3.26E+05,39 983.27    ,0.5,,,,,,,,,,,,,,,
434.4736,6.50E+05,39 983.27    ,0.5,,,,,,,,,,,,,,,
439.0029,9.83E+05,39 728.70    ,1.5,,,,,,,,,,,,,,,
439.334,1.17E+06,39 728.70    ,2.5,,,,,,,,,,,,,,,
439.334,1.95E+05,39 728.70    ,1.5,,,,,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,,,,,
441.9885,2.82E+05,39 574.85    ,0.5,,,,,,,,,,,,,,,
442.3246,5.61E+05,39 574.85    ,0.5,,,,,,,,,,,,,,,
443.23,1.40E+07,286 300.4     ,2.5,,,,,,,,,,,,,,,
449.4177,1.23E+06,39 200.93    ,1.5,,,,,,,,,,,,,,,
449.7658,1.46E+06,39 200.93    ,2.5,,,,,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,,,,,
449.7658,2.44E+05,39 200.93    ,1.5,,,,,,,,,,,,,,,
454.1633,3.76E+05,38 968.51    ,0.5,,,,,,,,,,,,,,,
454.5186,7.50E+05,38 968.51    ,0.5,,,,,,,,,,,,,,,
466.48107,2.08E+06,38 387.268   ,1.5,,,,,,,,,,,,,,,
466.85595,4.14E+05,38 387.268   ,1.5,,,,,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,,,,,
466.85595,2.49E+06,38 387.255   ,2.5,,,,,,,,,,,,,,,
474.7941,6.19E+05,38 012.042   ,0.5,,,,,,,,,,,,,,,
475.18218,1.23E+06,38 012.042   ,0.5,,,,,,,,,,,,,,,
497.53, ,287 374.8     ,0.5,,,,,,,,,,,,,,,
497.85414,4.09E+06,37 036.772   ,1.5,,,,,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,,,,,
 ,8.15E+05,37 036.772   ,1.5,,,,,,,,,,,,,,,
498.28134,4.88E+06,37 036.752   ,2.5,,,,,,,,,,,,,,,
501.98, ,286 849.5     ,1.5,,,,,,,,,,,,,,,
504.94, ,287 374.8     ,0.5,,,,,,,,,,,,,,,
507.12,4.10E+07,286 300.4     ,2.5,,,,,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,,,,,
510.96, ,286 849.5     ,1.5,,,,,,,,,,,,,,,
514.88381,1.14E+06,36 372.618   ,0.5,,,,,,,,,,,,,,,
515.34024,2.27E+06,36 372.618   ,0.5,,,,,,,,,,,,,,,
516.25,1.50E+07,286 300.4     ,2.5,,,,,,,,,,,,,,,
525.64,2.00E+06,286 300.4     ,2.5,,,,,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,,,,,
541.1, ,287 374.8     ,0.5,,,,,,,,,,,,,,,
545.19, ,286 849.5     ,1.5,,,,,,,,,,,,,,,
546.64, ,287 374.8     ,0.5,,,,,,,,,,,,,,,
556.99, ,286 849.5     ,1.5,,,,,,,,,,,,,,,
562.1,1.40E+07,286 300.4     ,2.5,,,,,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,,,,,
562.85, ,286 849.5     ,1.5,,,,,,,,,,,,,,,
568.26333,1.01E+07,34 548.764   ,1.5,,,,,,,,,,,,,,,
568.81934,2.02E+06,34 548.764   ,1.5,,,,,,,,,,,,,,,
568.82046,1.21E+07,34 548.729   ,2.5,,,,,,,,,,,,,,,
574.42,4.00E+06,286 300.4     ,2.5,,,,,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,,,,,
588.995095,6.16E+07,16 973.36619 ,1.5,,,,,,,,,,,,,,,
589.592424,6.14E+07,16 956.17025 ,0.5,,,,,,,,,,,,,,,
615.42253,2.50E+06,33 200.673   ,0.5,,,,,,,,,,,,,,,
616.0747,4.98E+06,33 200.673   ,0.5,,,,,,,,,,,,,,,
 ,6.30E+03,[40 814.352]  ,1.5,,,,,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,,,,,
 ,6.30E+03,[40 814.273]  ,0.5,,,,,,,,,,,,,,,
 ,8.50E+03,[40 705.444]  ,1.5,,,,,,,,,,,,,,,
 ,8.50E+03,[40 705.344]  ,0.5,,,,,,,,,,,,,,,
 ,1.11E+04,[40 565.913]  ,1.5,,,,,,,,,,,,,,,
 ,1.11E+04,[40 565.783]  ,0.5,,,,,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,,,,,
 ,1.53E+04,40 383.097   ,1.5,,,,,,,,,,,,,,,
 ,1.53E+04,40 382.925   ,0.5,,,,,,,,,,,,,,,
 ,2.23E+04,40 137.043   ,1.5,,,,,,,,,,,,,,,
 ,2.23E+04,40 136.810   ,0.5,,,,,,,,,,,,,,,
 ,4.43E+04,[39 794.810]  ,1.5,,,,,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,,,,,
 ,4.32E+04,[39 794.479]  ,0.5,,,,,,,,,,,,,,,
737.323,5.42E+04,39 298.84    ,1.5,,,,,,,,,,,,,,,
737.349,5.30E+04,39 298.35    ,0.5,,,,,,,,,,,,,,,
 ,8.93E+00,30 272.58    ,1.5,,,,,,,,,,,,,,,
 ,6.24E-06,30 272.58    ,1.5,,,,,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,,,,,
 ,1.15E-06,30 266.99    ,0.5,,,,,,,,,,,,,,,
 ,8.88E+00,30 272.58    ,1.5,,,,,,,,,,,,,,,
 ,4.28E-05,30 272.58    ,1.5,,,,,,,,,,,,,,,
 ,1.78E+01,30 266.99    ,0.5,,,,,,,,,,,,,,,
 ,8.84E-06,30 266.99    ,0.5,,,,,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,,,,,
780.978,9.91E+04,38 540.93    ,1.5,,,,,,,,,,,,,,,
781.024,9.72E+04,38 540.18    ,0.5,,,,,,,,,,,,,,,
818.32556,4.29E+07,29 172.887   ,1.5,,,,,,,,,,,,,,,
819.47905,8.57E+06,29 172.887   ,1.5,,,,,,,,,,,,,,,
819.48237,5.14E+07,29 172.837   ,2.5,,,,,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,,,,,
864.992,2.25E+05,37 297.61    ,1.5,,,,,,,,,,,,,,,
865.089,2.21E+05,37 296.32    ,0.5,,,,,,,,,,,,,,,
 ,1.63E+04,[40 542.293]  ,2.5,,,,,,,,,,,,,,,
 ,2.45E+05,[40 542.293]  ,3.5,,,,,,,,,,,,,,,
 ,2.29E+05,[40 542.293]  ,2.5,,,,,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,,,,,
894.296,3.71E+05,[40 351.761]  ,3.5,,,,,,,,,,,,,,,
894.296,2.47E+04,[40 351.761]  ,2.5,,,,,,,,,,,,,,,
 ,3.46E+05,[40 351.761]  ,2.5,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
